City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,bom jesus,-9.0744,-44.3586,35.13,20,2,3.05,BR,1690575356
84,nadi,-17.8,177.4167,21.0,68,20,2.57,FJ,1690575293
85,vilyuchinsk,52.9306,158.4028,14.15,86,89,0.38,RU,1690575356
86,martapura,-3.4167,114.85,25.05,83,99,1.54,ID,1690575357
87,mahina,-17.5065,-149.489,22.87,94,75,5.14,PF,1690575357
88,tosontsengel,48.7567,98.2839,11.56,85,80,2.32,MN,1690575357
89,saint-joseph,-21.3667,55.6167,17.21,70,16,3.86,RE,1690575357
90,tidjikja,18.5564,-11.4271,35.87,28,47,3.35,MR,1690575357
91,jamestown,42.097,-79.2353,31.12,60,0,3.6,US,1690574832
92,cidreira,-30.1811,-50.2056,13.82,70,35,6.16,BR,1690575358
93,mount pearl,47.5166,-52.7813,24.62,74,20,6.17,CA,1690575358
94,invercargill,-46.4,168.35,6.12,90,100,1.34,NZ,1690575358
95,chonchi,-42.6128,-73.8092,12.56,92,100,5.58,CL,1690575359
96,honmachi,32.5,130.6,25.81,75,91,1.45,JP,1690575145
97,homer,59.6425,-151.5483,16.13,82,100,0.0,US,1690575359
98,cabedelo,-6.9811,-34.8339,26.37,80,10,6.3,BR,1690575359
99,flying fish cove,-10.4217,105.6791,23.82,83,75,5.14,CX,1690575359
100,cambria,35.5641,-121.0808,36.98,46,1,5.43,US,1690575360
101,kavaratti,10.5669,72.642,28.26,77,6,6.93,IN,1690575360
102,adzope,6.1069,-3.8619,22.86,98,97,1.84,CI,1690575360
103,st. john's,47.5649,-52.7093,25.44,72,20,6.17,CA,1690575198
104,bilibino,68.0546,166.4372,8.88,88,100,2.55,RU,1690575360
105,mana,5.6592,-53.7767,28.27,80,72,5.15,GF,1690575361
106,alice springs,-23.7,133.8833,15.75,72,100,2.06,AU,1690575361
107,lebu,-37.6167,-73.65,13.89,79,100,1.58,CL,1690575361
108,mar del plata,-38.0023,-57.5575,9.41,76,88,2.68,AR,1690575233
109,vernon,50.2581,-119.2691,29.4,26,11,1.54,CA,1690575188
110,chany,55.3121,76.7647,19.46,63,100,2.76,RU,1690575362
111,vicuna,-30.0319,-70.7081,31.54,15,75,1.77,CL,1690575342
112,pemangkat,1.1667,108.9667,25.77,85,100,4.92,ID,1690575363
113,al ghayzah,16.2079,52.176,25.43,88,73,6.17,YE,1690575363
114,thompson,55.7435,-97.8558,19.09,59,75,5.14,CA,1690575131
115,yumbe,3.4651,31.2469,19.43,92,99,2.19,UG,1690575363
116,thinadhoo,0.5333,72.9333,27.85,76,100,3.03,MV,1690575363
117,daru,-9.0763,143.2092,25.02,86,67,7.08,PG,1690575364
118,caboolture,-27.0833,152.95,13.92,96,85,1.61,AU,1690575364
119,mili,6.0815,171.735,28.67,77,99,7.05,MH,1690575364
120,horta,38.5333,-28.6333,25.01,85,75,5.66,PT,1690575365
121,port lincoln,-34.7333,135.8667,11.88,85,0,5.36,AU,1690575365
122,keflavik,64.0049,-22.5624,14.95,67,75,6.69,IS,1690575365
123,lagunas,-5.2269,-75.6753,32.45,47,79,0.83,PE,1690575366
124,minas de marcona,-15.2119,-75.1103,19.08,54,35,5.45,PE,1690575366
125,pudozh,61.8099,36.5345,13.98,96,100,4.5,RU,1690575366
126,weno,7.4515,151.8468,25.97,89,100,6.17,FM,1690575366
127,morondava,-20.2833,44.2833,20.36,59,0,5.5,MG,1690575366
128,punta arenas,-53.15,-70.9167,1.17,85,99,3.57,CL,1690575119
129,gargalianoi,37.0667,21.6333,24.34,76,0,5.0,GR,1690575367
130,port macquarie,-31.4333,152.9167,7.72,71,5,2.06,AU,1690575325
131,north nowra,-34.8581,150.5828,13.75,89,66,1.6,AU,1690575367
132,pisco,-13.7,-76.2167,21.12,73,20,3.6,PE,1690575261
133,ponta delgada,37.7333,-25.6667,23.4,94,40,6.17,PT,1690575368
134,iskateley,67.6803,53.1512,11.61,91,9,2.6,RU,1690575368
135,miri,4.4148,114.0089,26.08,94,20,2.06,MY,1690575369
136,djibo,14.1022,-1.6306,34.32,40,35,3.07,BF,1690575369
137,hankasalmi,62.3833,26.4333,14.61,98,100,6.18,FI,1690575369
138,mount isa,-20.7333,139.5,11.87,94,9,0.0,AU,1690574962
139,nabire,-3.3667,135.4833,25.07,89,100,1.49,ID,1690575370
140,howrah,22.5892,88.3103,28.0,94,40,2.06,IN,1690575370
141,macapa,0.0389,-51.0664,31.99,66,20,5.14,BR,1690575370
142,isafjordur,66.0755,-23.124,7.26,92,100,3.84,IS,1690575370
143,deqen,29.9618,90.7188,10.11,88,100,1.05,CN,1690575371
